Ticker;Date;NaN;Close;Price;Open;Last;MA 10;Ownership;Buy;Sell;Cashflow
Mofid.Gold.ETF;09/06/2018;20180609;10000.00;10000;10000.00;10000.00;10000;no;no;no;0
Mofid.Gold.ETF;10/06/2018;20180610;10000.00;10000;10000.00;10000.00;10000;no;no;no;0
Mofid.Gold.ETF;11/06/2018;20180611;10000.00;10000;10000.00;10000.00;10000;no;no;no;0
Mofid.Gold.ETF;12/06/2018;20180612;10000.00;10000;10000.00;10000.00;10000;no;no;no;0
Mofid.Gold.ETF;13/06/2018;20180613;10000.00;10000;10000.00;10000.00;10000;no;yes;no;-10.000.020
Mofid.Gold.ETF;22/07/2018;20180722;10577.00;10577;10000.00;10500.00;10577;yes;no;no;-10.000.020
Mofid.Gold.ETF;23/07/2018;20180723;10511.00;10511;10577.00;10404.00;10511;yes;no;no;-10.000.020
Mofid.Gold.ETF;24/07/2018;20180724;10505.00;10505;10511.00;10590.00;10505;yes;no;no;-10.000.020
Mofid.Gold.ETF;25/07/2018;20180725;10555.00;10555;10505.00;10550.00;10555;yes;no;no;-10.000.020
Mofid.Gold.ETF;28/07/2018;20180728;10640.00;10640;10555.00;10661.00;10640;yes;no;no;-10.000.020
Mofid.Gold.ETF;29/07/2018;20180729;10794.00;10794;10640.00;10764.00;10325,63636;yes;no;no;-10.000.020
Mofid.Gold.ETF;30/07/2018;20180730;10888.00;10888;10794.00;10889.00;10406,36364;yes;no;no;-10.000.020
Mofid.Gold.ETF;31/07/2018;20180731;10909.00;10909;10888.00;10810.00;10489;yes;no;no;-10.000.020
Mofid.Gold.ETF;01/08/2018;20180801;10897.00;10897;10909.00;10900.00;10570,54545;yes;no;no;-10.000.020
Mofid.Gold.ETF;04/08/2018;20180804;10772.00;10772;10897.00;10730.00;10640,72727;yes;no;no;-10.000.020
Mofid.Gold.ETF;05/08/2018;20180805;10473.00;10473;10772.00;10451.00;10683,72727;yes;no;yes;10.473.000
Mofid.Gold.ETF;06/08/2018;20180806;10383.00;10383;10473.00;10353.00;10666,09091;no;no;no;10.473.000
Mofid.Gold.ETF;07/08/2018;20180807;10249.00;10249;10383.00;10233.00;10642,27273;no;no;no;10.473.000
Mofid.Gold.ETF;08/08/2018;20180808;10338.00;10338;10249.00;10499.00;10627,09091;no;no;no;10.473.000
Mofid.Gold.ETF;11/08/2018;20180811;10638.00;10638;10338.00;10644.00;10634,63636;no;yes;no;-10.638.020
Mofid.Gold.ETF;12/08/2018;20180812;10692.00;10692;10638.00;10753.00;10639,36364;yes;no;no;-10.638.020
Mofid.Gold.ETF;13/08/2018;20180813;10828.00;10828;10692.00;10856.00;10642,45455;yes;no;no;-10.638.020
